image,pseudo_objects,gt_objects,matched_objects
"images/val/282555,43fbd000329fe59f.jpg",2,10,2
"images/val/282555,462b70006275753c.jpg",13,44,12
"images/val/282555,48a9a000d647d63d.jpg",15,29,15
"images/val/282555,4bd5e00041405c76.jpg",4,10,3
"images/val/282555,4cd8f0001a6bf61a.jpg",4,7,4
"images/val/282555,4f442000fc46026d.jpg",10,39,9
"images/val/282555,52980000c372f39.jpg",12,47,12
"images/val/282555,584a500023461bb5.jpg",12,25,10
"images/val/282555,5e20f00028f5c0c2.jpg",9,23,9
"images/val/282555,626aa0007ffb32fc.jpg",11,25,11
"images/val/282555,635f9000f8460835.jpg",10,35,10
"images/val/282555,646380008114e02f.jpg",14,27,14
"images/val/282555,66a600088d7527e.jpg",4,13,4
"images/val/282555,6a5590005d46c93d.jpg",17,32,7
"images/val/282555,6d7200027231ace.jpg",12,27,12
"images/val/282555,6e6c0001449c30b.jpg",7,13,7
"images/val/282555,7202a0009cdc5ea2.jpg",1,10,1
"images/val/282555,75ba7000dfe99989.jpg",9,12,9
"images/val/282555,78fe0000830f6715.jpg",30,52,28
"images/val/282555,7dd70000db023b34.jpg",3,7,1
"images/val/282555,8152a000b8d23a9c.jpg",5,7,5
"images/val/282555,86e2f0003471a1ac.jpg",16,20,16
"images/val/282555,8a7a20000b5794a2.jpg",27,35,22
"images/val/282555,8fb6e00087ebf5ed.jpg",2,3,2
"images/val/282555,91384000946b4f90.jpg",13,15,13
"images/val/282555,93c930007964c455.jpg",3,4,3
"images/val/282555,95ad80006ade2de8.jpg",19,26,18
"images/val/282555,97e17000f0ddc4d9.jpg",12,31,12
"images/val/282555,9a1db0003377b5a0.jpg",55,55,55
"images/val/282555,9c4c100073fe930a.jpg",8,8,6
"images/val/282555,9f1b2000ffa1d35b.jpg",4,6,1
"images/val/282555,a4abf0008175ecc1.jpg",10,122,10
"images/val/282555,a6926000836a6f77.jpg",3,29,3
"images/val/282555,a84f9000bab0f6d9.jpg",0,31,0
"images/val/282555,ab2ad00009452688.jpg",7,66,7
"images/val/282555,add2b00061d088a2.jpg",4,4,3
"images/val/282555,b0f0a0000e7d18f1.jpg",13,14,13
"images/val/282555,b4071000d27eb668.jpg",5,9,5
"images/val/282555,b635a000946b5be5.jpg",12,27,11
"images/val/282555,b93ff0002dcc0f6e.jpg",13,27,13
"images/val/282555,bbc9500035291045.jpg",9,98,9
"images/val/282555,bcd1800056a14d0f.jpg",19,44,19
"images/val/282555,be9e80003fa45197.jpg",11,28,11
"images/val/282555,c340e00043f1a6b9.jpg",19,48,18
"images/val/282555,c4fde000dd031c65.jpg",9,10,8
